episode,global_step,episode_reward,running_avg_reward,eval_reward,mean_energy,mean_energy_norm,mean_queue,mean_queue_ratio,mean_throughput_norm,q1_loss,actor_loss,alpha
15,17398,-47.22695900920787,-8.964080193428483,47.77720398701747,8.59031687818382,0.10737896097729763,4.34144222415291,0.01620632229579259,0.0,0.07602085143353611,0.007063712219378892,1.0244716719485671,-48.010836730118285,0.6029387865906226
16,18590,-49.44923823415472,-11.494402570973872,47.77720398701747,8.340344308717706,0.10425430385897125,4.219798657718121,0.01575223475044084,0.0,0.07284675615212524,0.0068739871326476834,1.0152037719519253,-51.59534209502962,0.5306466531543734
17,19782,-50.51688787629598,-13.789842883051643,47.77720398701747,8.470388278913958,0.10587985348642459,4.183724832214765,0.015617573499095141,0.0,0.07368568232662194,0.006830143934535117,0.9964283587834407,-54.0989133275985,0.471203679621189
18,20932,-47.077103567259705,-15.639135143285424,47.77720398701747,8.89855054506569,0.11123188181332105,4.317391304347826,0.016116541771776134,0.0,0.07797101449275376,0.0070731006083988605,0.9666060398453816,-55.72781769367164,0.4235037092933072
19,22084,-45.17149685858897,-17.193469970406664,47.77720398701747,8.784981290609917,0.10981226613262389,4.364583333333333,0.016292706555745114,0.0,0.07928240740740755,0.007164513562997708,0.9372122154770124,-56.768956962600164,0.38331159842512247
20,23236,-47.52436222149772,-18.710014582961215,34.86716026824584,8.747860096301181,0.10934825120376468,4.447048611111111,0.016600544090111795,0.0,0.0772569444444445,0.007209879094378068,0.9081145589585257,-57.3523913483473,0.3492417317976161
21,24388,-49.44180183926984,-20.173433023737818,34.86716026824584,8.733107351599822,0.10916384189499762,4.355034722222222,0.01625706220966052,0.0,0.07421875000000011,0.006992772622772075,0.8738120876397586,-57.58058234756132,0.32014718057496183
22,25537,-44.085393558240135,-21.260340320760648,34.86716026824584,8.610587505172703,0.10763234381465903,4.308093994778067,0.016081835518049436,0.0,0.07716855236437496,0.006988288525116053,0.837562632113409,-57.53651691589178,0.29518884201536155
23,26729,-47.70433851835793,-22.410079372830097,34.86716026824584,8.52307059853401,0.10653838248167521,4.240771812080537,0.015830526175641856,0.0,0.0748042505592842,0.006964805185880832,0.8074656902904099,-57.270440425893234,0.2728138279007939
24,27887,-40.187130844416345,-23.150789850812856,34.86716026824584,8.34311309246424,0.10428891365580305,4.226252158894646,0.015776325251846426,0.0,0.07671272308578017,0.006921080979917108,0.7780015611770672,-56.84704851783148,0.25390925517718166
25,29044,-37.27247640883773,-23.715657313133853,34.86716026824584,7.904759961486006,0.09880949951857523,4.278305963699222,0.01597063872967921,0.0,0.07562662057044092,0.006927062899519454,0.7514580966226689,-56.29772502502569,0.23734086307077665
26,30198,-47.440060454146064,-24.628134357018936,34.86716026824584,8.249858588151792,0.10312323235189741,4.2833622183708835,0.0159895134004885,0.0,0.07047949162333911,0.006980653432784601,0.7219137647565076,-55.65478718771493,0.22274550338821197
